seq_score,mapped,occurence
50.25,0.0,2.0
50.25,1.0,1.0
50.26,0.0,1.0
50.28,1.0,1.0
50.29,0.0,2.0
50.3,0.0,1.0
50.31,1.0,1.0
50.33,0.0,1.0
50.33,1.0,3.0
50.34,0.0,1.0
50.34,1.0,1.0
50.35,1.0,1.0
50.36,0.0,1.0
50.36,1.0,2.0
50.37,0.0,1.0
50.37,1.0,1.0
50.38,0.0,1.0
50.38,1.0,3.0
50.39,0.0,1.0
50.39,1.0,2.0
50.4,0.0,1.0
50.4,1.0,1.0
50.42,1.0,2.0
50.43,1.0,3.0
50.44,0.0,1.0
50.44,1.0,1.0
50.45,0.0,1.0
50.45,1.0,1.0
50.46,1.0,2.0
50.47,1.0,3.0
50.48,1.0,4.0
50.49,1.0,1.0
50.5,1.0,3.0
50.52,1.0,1.0
50.53,1.0,3.0
50.54,1.0,1.0
50.55,0.0,1.0
50.55,1.0,1.0
50.58,1.0,3.0
50.59,0.0,1.0
50.59,1.0,3.0
50.6,1.0,3.0
50.61,1.0,2.0
50.62,1.0,2.0
50.63,1.0,1.0
50.64,0.0,1.0
50.64,1.0,1.0
50.65,0.0,1.0
50.67,0.0,1.0
50.67,1.0,2.0
50.68,0.0,1.0
50.68,1.0,3.0
50.69,0.0,2.0
50.69,1.0,2.0
50.7,1.0,3.0
50.71,0.0,1.0
50.71,1.0,2.0
50.72,1.0,1.0
50.73,1.0,2.0
50.75,1.0,1.0
50.76,0.0,1.0
50.78,0.0,2.0
50.78,1.0,2.0
50.79,1.0,1.0
50.8,0.0,2.0
50.8,1.0,3.0
50.81,1.0,1.0
50.82,1.0,4.0
50.83,1.0,1.0
50.84,1.0,3.0
50.85,1.0,2.0
50.86,0.0,1.0
50.86,1.0,2.0
50.87,1.0,1.0
50.88,1.0,1.0
50.89,1.0,1.0
50.9,0.0,1.0
50.9,1.0,3.0
50.91,1.0,2.0
50.92,1.0,1.0
50.93,0.0,1.0
50.93,1.0,1.0
50.94,0.0,1.0
50.94,1.0,1.0
50.95,0.0,1.0
50.96,0.0,1.0
50.97,1.0,4.0
50.98,1.0,1.0
50.99,0.0,1.0
50.99,1.0,1.0
51.0,1.0,2.0
51.01,0.0,1.0
51.02,1.0,2.0
51.03,0.0,2.0
51.04,1.0,1.0
51.05,1.0,1.0
51.07,1.0,2.0
51.08,1.0,2.0
51.09,1.0,2.0
51.1,1.0,3.0
51.11,0.0,1.0
51.12,0.0,1.0
51.13,0.0,1.0
51.13,1.0,3.0
51.14,0.0,2.0
51.14,1.0,3.0
51.15,0.0,1.0
51.15,1.0,4.0
51.17,1.0,1.0
51.18,0.0,2.0
51.18,1.0,1.0
51.19,1.0,2.0
51.2,1.0,1.0
51.21,1.0,2.0
51.22,0.0,2.0
51.22,1.0,2.0
51.23,0.0,1.0
51.23,1.0,2.0
51.24,0.0,2.0
51.24,1.0,1.0
51.25,1.0,3.0
51.26,1.0,2.0
51.27,0.0,1.0
51.27,1.0,1.0
51.28,1.0,1.0
51.29,1.0,2.0
51.3,1.0,2.0
51.31,1.0,1.0
51.32,0.0,1.0
51.32,1.0,1.0
51.33,0.0,1.0
51.34,1.0,1.0
51.35,1.0,2.0
51.36,0.0,1.0
51.36,1.0,2.0
51.37,1.0,3.0
51.38,1.0,2.0
51.39,0.0,2.0
51.39,1.0,2.0
51.4,0.0,2.0
51.4,1.0,1.0
51.41,1.0,4.0
51.42,0.0,1.0
51.43,0.0,1.0
51.43,1.0,3.0
51.44,1.0,1.0
51.45,0.0,2.0
51.45,1.0,2.0
51.47,1.0,2.0
51.48,1.0,1.0
51.49,1.0,5.0
51.5,0.0,1.0
51.51,1.0,1.0
51.52,0.0,2.0
51.52,1.0,1.0
51.53,0.0,1.0
51.53,1.0,3.0
51.56,1.0,1.0
51.57,1.0,1.0
51.58,1.0,1.0
51.59,0.0,1.0
51.59,1.0,2.0
51.6,0.0,1.0
51.6,1.0,3.0
51.61,0.0,1.0
51.61,1.0,4.0
51.62,0.0,1.0
51.62,1.0,2.0
51.63,0.0,1.0
51.63,1.0,1.0
51.64,1.0,4.0
51.65,0.0,2.0
51.65,1.0,1.0
51.66,0.0,1.0
51.67,1.0,1.0
51.68,0.0,1.0
51.68,1.0,4.0
51.69,0.0,1.0
51.69,1.0,1.0
51.7,0.0,1.0
