map_score,mapped,occurence
0,0,2776
0,1,1
1,1,9
10,1,5
11,1,5
12,1,2
13,1,4
14,1,6
15,1,9
16,1,4
17,1,4
18,1,11
19,1,3
2,1,5
20,1,10
21,1,7
22,1,2
23,1,10
24,1,8
25,1,5
26,1,11
27,1,18
28,1,14
29,1,5
3,1,2
30,1,4
31,1,6
32,1,4
33,1,9
34,1,14
35,1,6
36,1,5
37,1,7
38,1,13
39,1,16
4,1,9
40,1,28
41,1,4
42,1,7
43,1,15
44,1,13
45,1,68
46,1,8
47,1,9
48,1,20
49,1,29
5,1,16
50,1,3
51,1,5
52,1,11
53,1,8
54,1,7
55,1,8
56,1,7
57,1,6
58,1,11
59,1,15
6,1,8
60,1,11387
7,1,3
8,1,2

