seq_score,mapped,occurence
58.83,1.0,2.0
58.84,0.0,1.0
58.84,1.0,1.0
58.87,0.0,2.0
58.88,0.0,1.0
58.88,1.0,2.0
58.89,1.0,1.0
58.92,0.0,1.0
58.92,1.0,1.0
58.94,1.0,3.0
58.99,0.0,1.0
59.0,0.0,1.0
59.03,0.0,1.0
59.04,0.0,1.0
59.06,0.0,1.0
59.07,0.0,1.0
59.09,0.0,1.0
59.1,0.0,1.0
59.11,0.0,1.0
59.14,1.0,1.0
59.15,1.0,1.0
59.17,0.0,1.0
59.17,1.0,1.0
59.18,0.0,1.0
59.2,1.0,1.0
59.25,0.0,1.0
59.26,1.0,1.0
59.27,1.0,1.0
59.28,1.0,1.0
59.3,0.0,1.0
59.33,1.0,1.0
59.34,1.0,2.0
59.35,1.0,1.0
59.36,0.0,1.0
59.38,1.0,1.0
59.41,0.0,1.0
59.43,0.0,1.0
59.43,1.0,2.0
59.44,0.0,1.0
59.44,1.0,1.0
59.47,0.0,1.0
59.47,1.0,1.0
59.49,1.0,1.0
59.5,0.0,1.0
59.5,1.0,2.0
59.53,0.0,1.0
59.53,1.0,2.0
59.54,1.0,2.0
59.55,0.0,2.0
59.55,1.0,2.0
59.56,1.0,1.0
59.6,0.0,1.0
59.61,0.0,1.0
59.62,0.0,1.0
59.65,0.0,2.0
59.66,1.0,1.0
59.68,0.0,1.0
59.69,1.0,1.0
59.7,0.0,1.0
59.7,1.0,1.0
59.72,1.0,1.0
59.73,0.0,2.0
59.73,1.0,1.0
59.74,1.0,1.0
59.75,1.0,1.0
59.76,0.0,1.0
59.76,1.0,1.0
59.78,0.0,2.0
59.83,0.0,3.0
59.85,1.0,1.0
59.86,0.0,1.0
59.87,1.0,2.0
59.89,1.0,1.0
59.9,0.0,1.0
59.91,1.0,3.0
59.92,1.0,1.0
59.93,0.0,2.0
59.94,0.0,1.0
59.95,1.0,2.0
59.98,0.0,1.0
59.98,1.0,1.0
59.99,0.0,1.0
60.0,0.0,2.0
60.0,1.0,1.0
60.01,1.0,1.0
60.03,0.0,2.0
60.03,1.0,1.0
60.05,0.0,1.0
60.05,1.0,1.0
60.06,0.0,1.0
60.08,0.0,1.0
60.08,1.0,1.0
60.09,0.0,2.0
60.1,1.0,1.0
60.11,0.0,1.0
60.13,1.0,1.0
60.16,1.0,1.0
60.17,0.0,2.0
60.17,1.0,1.0
60.19,1.0,1.0
60.2,0.0,1.0
60.23,0.0,3.0
60.23,1.0,2.0
60.24,0.0,1.0
60.25,0.0,2.0
60.25,1.0,2.0
60.26,0.0,1.0
60.26,1.0,1.0
60.27,0.0,1.0
60.28,0.0,1.0
60.28,1.0,1.0
60.29,0.0,1.0
60.29,1.0,2.0
60.31,0.0,1.0
60.32,0.0,2.0
60.33,0.0,1.0
60.33,1.0,1.0
60.34,1.0,1.0
60.35,1.0,4.0
60.36,1.0,1.0
60.38,0.0,1.0
60.38,1.0,2.0
60.39,0.0,1.0
60.4,1.0,1.0
60.42,1.0,1.0
60.43,0.0,1.0
60.43,1.0,2.0
60.44,0.0,2.0
60.49,1.0,1.0
60.51,0.0,1.0
60.52,0.0,1.0
60.52,1.0,2.0
60.54,0.0,1.0
60.55,0.0,1.0
60.56,1.0,1.0
60.57,0.0,1.0
60.57,1.0,1.0
60.58,0.0,2.0
60.61,0.0,2.0
60.62,0.0,1.0
60.62,1.0,1.0
60.63,1.0,1.0
60.64,1.0,1.0
60.65,1.0,2.0
60.66,0.0,2.0
60.66,1.0,1.0
60.67,0.0,1.0
60.68,0.0,1.0
60.69,0.0,2.0
60.69,1.0,1.0
60.7,0.0,1.0
60.7,1.0,2.0
60.72,0.0,1.0
60.75,0.0,3.0
60.75,1.0,1.0
60.76,0.0,1.0
60.78,0.0,3.0
60.78,1.0,1.0
60.79,1.0,1.0
60.8,1.0,3.0
60.81,0.0,1.0
60.82,0.0,1.0
60.82,1.0,2.0
60.83,1.0,1.0
60.84,0.0,1.0
60.84,1.0,2.0
60.85,0.0,1.0
60.85,1.0,1.0
60.86,0.0,1.0
60.86,1.0,1.0
60.87,1.0,1.0
60.88,0.0,1.0
60.9,0.0,1.0
60.9,1.0,1.0
60.91,1.0,1.0
60.92,1.0,1.0
60.93,0.0,1.0
60.93,1.0,1.0
60.94,1.0,1.0
60.96,1.0,1.0
60.97,0.0,1.0
60.97,1.0,1.0
60.99,0.0,1.0
60.99,1.0,2.0
61.01,1.0,1.0
61.02,1.0,4.0
61.03,0.0,2.0
61.05,0.0,3.0
61.06,0.0,2.0
61.06,1.0,1.0
61.07,0.0,1.0
61.07,1.0,2.0
61.08,0.0,1.0
61.08,1.0,1.0
61.1,0.0,1.0
61.1,1.0,1.0
61.11,1.0,3.0
61.12,1.0,1.0
61.13,0.0,1.0
61.14,0.0,1.0
61.15,1.0,1.0
61.17,1.0,2.0
61.18,0.0,2.0
61.18,1.0,1.0
61.19,0.0,1.0
61.19,1.0,1.0
61.2,1.0,1.0
61.21,1.0,2.0
61.22,0.0,4.0
61.23,1.0,1.0
61.25,0.0,1.0
61.25,1.0,1.0
61.27,0.0,2.0
61.27,1.0,2.0
61.28,1.0,1.0
61.29,0.0,1.0
61.3,0.0,1.0
61.32,0.0,2.0
61.32,1.0,1.0
61.34,0.0,1.0
61.36,0.0,1.0
61.36,1.0,2.0
61.37,0.0,2.0
61.37,1.0,1.0
61.38,0.0,1.0
61.39,1.0,3.0
61.4,0.0,3.0
61.4,1.0,1.0
61.41,0.0,1.0
61.41,1.0,1.0
61.42,0.0,2.0
61.42,1.0,4.0
61.43,0.0,1.0
61.43,1.0,2.0
61.44,1.0,1.0
61.45,1.0,1.0
61.46,0.0,2.0
