seq_score,mapped,occurence
57.4,1.0,2.0
57.41,1.0,2.0
57.42,1.0,1.0
57.44,0.0,1.0
57.44,1.0,1.0
57.49,1.0,1.0
57.5,0.0,1.0
57.54,1.0,1.0
57.56,1.0,2.0
57.57,1.0,1.0
57.63,1.0,1.0
57.65,1.0,2.0
57.67,0.0,1.0
57.68,1.0,1.0
57.69,0.0,1.0
57.7,1.0,1.0
57.72,0.0,1.0
57.72,1.0,2.0
57.78,0.0,1.0
57.82,1.0,1.0
57.83,1.0,1.0
57.85,1.0,1.0
57.86,1.0,1.0
57.89,1.0,1.0
57.9,0.0,1.0
57.9,1.0,1.0
57.91,1.0,4.0
57.92,1.0,1.0
57.94,1.0,1.0
57.97,0.0,2.0
57.98,1.0,1.0
57.99,0.0,1.0
58.0,1.0,1.0
58.02,1.0,1.0
58.03,1.0,1.0
58.04,1.0,2.0
58.05,0.0,1.0
58.05,1.0,1.0
58.06,1.0,1.0
58.07,1.0,1.0
58.08,1.0,1.0
58.09,0.0,2.0
58.09,1.0,3.0
58.12,1.0,1.0
58.13,1.0,1.0
58.14,1.0,2.0
58.15,1.0,1.0
58.17,1.0,1.0
58.18,0.0,1.0
58.18,1.0,1.0
58.19,1.0,1.0
58.21,0.0,1.0
58.23,1.0,2.0
58.25,1.0,1.0
58.28,1.0,1.0
58.31,1.0,1.0
58.32,0.0,1.0
58.33,1.0,1.0
58.34,0.0,1.0
58.35,1.0,1.0
58.36,1.0,1.0
58.37,0.0,1.0
58.37,1.0,1.0
58.39,1.0,4.0
58.4,0.0,1.0
58.4,1.0,1.0
58.41,1.0,1.0
58.42,1.0,2.0
58.44,1.0,1.0
58.45,1.0,1.0
58.46,0.0,1.0
58.46,1.0,1.0
58.48,1.0,1.0
58.53,1.0,1.0
58.56,1.0,1.0
58.58,1.0,1.0
58.6,1.0,1.0
58.61,1.0,1.0
58.64,1.0,1.0
58.65,1.0,1.0
58.67,1.0,1.0
58.68,1.0,1.0
58.7,1.0,1.0
58.73,1.0,2.0
58.74,0.0,1.0
58.74,1.0,3.0
58.75,1.0,1.0
58.77,1.0,1.0
58.79,1.0,1.0
58.8,1.0,1.0
58.81,1.0,2.0
58.82,1.0,1.0
58.84,1.0,1.0
58.85,1.0,2.0
58.86,1.0,1.0
58.87,0.0,1.0
58.87,1.0,1.0
58.91,1.0,2.0
58.92,1.0,1.0
58.94,1.0,3.0
58.96,1.0,1.0
59.03,1.0,4.0
59.07,1.0,3.0
59.08,1.0,1.0
59.12,1.0,1.0
59.13,1.0,1.0
59.15,1.0,1.0
59.16,1.0,1.0
59.17,1.0,1.0
59.19,1.0,1.0
59.2,1.0,1.0
59.26,1.0,1.0
59.27,0.0,1.0
59.27,1.0,1.0
59.28,1.0,1.0
