map_score,mapped,occurence
0,0,2519
1,1,21
11,1,5
12,1,2
13,1,1
14,1,2
15,1,1
16,1,1
17,1,1
18,1,3
19,1,4
20,1,4
21,1,4
23,1,1
24,1,3
25,1,2
26,1,3
27,1,3
30,1,1
31,1,1
34,1,4
35,1,2
36,1,2
37,1,1
38,1,2
39,1,1
4,1,9
40,1,2
41,1,1
44,1,7
45,1,11
46,1,2
47,1,1
48,1,1
50,1,1
51,1,1
52,1,2
53,1,6
54,1,2
55,1,3
56,1,1
57,1,4
59,1,1
60,1,784
8,1,2
9,1,1

