sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode02	read	occurence
Mapped	3004
No mapped	956
total	3960	GC_content,mapped,occurence
44.8,0.0,1.0
44.8,1.0,2.0
44.81,1.0,2.0
44.82,0.0,1.0
44.83,0.0,1.0
44.83,1.0,2.0
44.84,1.0,2.0
44.85,1.0,2.0
44.86,1.0,4.0
44.87,0.0,1.0
44.87,1.0,3.0
44.88,1.0,1.0
44.89,1.0,2.0
44.9,1.0,1.0
44.91,0.0,1.0
44.91,1.0,2.0
44.92,1.0,2.0
44.93,0.0,1.0
44.95,0.0,1.0
44.96,1.0,1.0
44.97,1.0,1.0
44.98,0.0,2.0
44.98,1.0,3.0
44.99,1.0,3.0
45.01,1.0,2.0
45.03,0.0,1.0
45.03,1.0,2.0
45.05,0.0,1.0
45.05,1.0,1.0
45.06,1.0,1.0
45.07,0.0,2.0
45.07,1.0,2.0
45.08,1.0,3.0
45.09,0.0,1.0
45.09,1.0,1.0
45.11,1.0,6.0
45.12,0.0,1.0
45.12,1.0,2.0
45.13,0.0,2.0
45.14,1.0,3.0
45.15,1.0,3.0
45.16,1.0,2.0
45.17,0.0,1.0
45.17,1.0,2.0
45.18,0.0,1.0
45.18,1.0,3.0
45.19,1.0,4.0
45.2,1.0,2.0
45.21,1.0,3.0
45.22,1.0,1.0
45.23,1.0,2.0
45.24,1.0,2.0
45.25,0.0,1.0
45.25,1.0,1.0
45.26,0.0,4.0
45.26,1.0,2.0
45.27,0.0,1.0
45.28,1.0,4.0
45.29,0.0,1.0
45.29,1.0,2.0
45.31,0.0,1.0
45.31,1.0,3.0
45.32,1.0,3.0
45.33,0.0,3.0
45.33,1.0,1.0
45.34,0.0,1.0
45.34,1.0,1.0
45.35,0.0,2.0
45.35,1.0,1.0
45.36,1.0,2.0
45.37,0.0,1.0
45.37,1.0,1.0
45.38,0.0,1.0
45.38,1.0,2.0
45.39,0.0,1.0
45.39,1.0,4.0
45.4,0.0,1.0
45.4,1.0,1.0
45.41,0.0,1.0
45.41,1.0,4.0
45.42,1.0,3.0
45.43,1.0,1.0
45.44,0.0,1.0
45.44,1.0,2.0
45.45,0.0,2.0
45.45,1.0,7.0
45.48,0.0,1.0
45.49,0.0,1.0
45.49,1.0,4.0
45.5,0.0,1.0
45.5,1.0,2.0
45.51,1.0,6.0
45.52,0.0,1.0
45.52,1.0,5.0
45.53,1.0,5.0
45.54,0.0,1.0
45.54,1.0,4.0
45.55,1.0,1.0
45.56,0.0,1.0
45.56,1.0,3.0
45.57,1.0,4.0
45.58,1.0,3.0
45.59,0.0,1.0
45.59,1.0,5.0
45.6,0.0,3.0
45.6,1.0,1.0
45.61,1.0,2.0
45.62,1.0,6.0
45.63,0.0,1.0
45.63,1.0,2.0
45.64,0.0,1.0
45.64,1.0,4.0
45.65,1.0,1.0
45.66,0.0,1.0
45.66,1.0,3.0
45.67,1.0,1.0
45.68,1.0,1.0
45.69,1.0,3.0
45.7,0.0,1.0
45.7,1.0,2.0
45.71,0.0,1.0
45.71,1.0,3.0
45.72,0.0,2.0
45.72,1.0,3.0
45.73,0.0,2.0
45.73,1.0,4.0
45.74,0.0,1.0
45.74,1.0,3.0
45.75,0.0,2.0
45.75,1.0,3.0
45.77,1.0,2.0
45.78,1.0,4.0
45.79,0.0,1.0
45.79,1.0,6.0
45.8,0.0,1.0
45.8,1.0,7.0
45.81,1.0,2.0
45.82,1.0,3.0
45.83,0.0,3.0
45.83,1.0,2.0
45.84,1.0,1.0
45.85,0.0,2.0
45.85,1.0,7.0
45.86,1.0,4.0
45.87,0.0,1.0
45.88,0.0,1.0
45.88,1.0,2.0
45.89,1.0,4.0
45.9,0.0,3.0
45.9,1.0,5.0
45.91,0.0,1.0
45.91,1.0,2.0
45.92,0.0,2.0
45.92,1.0,6.0
45.93,0.0,3.0
