map_score,mapped,occurence
0,0,4102
0,1,1
1,1,62
10,1,7
11,1,10
12,1,6
13,1,4
14,1,7
15,1,18
16,1,9
17,1,12
18,1,23
19,1,16
2,1,9
20,1,9
21,1,9
22,1,9
23,1,8
24,1,14
25,1,29
26,1,21
27,1,26
28,1,17
29,1,7
3,1,23
30,1,6
31,1,4
32,1,6
33,1,9
34,1,9
35,1,14
36,1,10
37,1,13
38,1,11
39,1,22
4,1,4
40,1,16
41,1,16
42,1,21
43,1,13
44,1,21
45,1,31
46,1,38
47,1,13
48,1,11
49,1,21
5,1,10
50,1,16
51,1,11
52,1,14
53,1,267
54,1,18
55,1,13
56,1,20
57,1,61
58,1,13
59,1,11
6,1,23
60,1,9418
7,1,1
8,1,4
9,1,3

