map_score,mapped,occurence
0,0,2092
1,1,1
13,1,5
14,1,5
15,1,10
16,1,2
19,1,1
22,1,1
23,1,1
24,1,1
26,1,2
27,1,3
28,1,5
29,1,1
3,1,2
31,1,2
32,1,1
33,1,1
34,1,4
35,1,6
36,1,5
37,1,3
38,1,1
44,1,2
46,1,2
47,1,6
48,1,7
49,1,37
5,1,1
50,1,41
51,1,12
52,1,2
53,1,3
54,1,3
55,1,2
56,1,1
57,1,1
58,1,2
60,1,543

