map_score,mapped,occurence
0,0,402
1,1,32
10,1,106
11,1,1
12,1,7
13,1,22
14,1,47
15,1,59
16,1,8
17,1,2
18,1,4
19,1,7
2,1,2
20,1,12
21,1,21
22,1,1
23,1,3
24,1,4
25,1,3
26,1,12
27,1,14
28,1,5
29,1,4
3,1,12
30,1,11
31,1,19
32,1,27
33,1,387
34,1,11
35,1,17
36,1,10
37,1,4
38,1,1
39,1,3
4,1,37
40,1,3
41,1,14
42,1,5
43,1,1
44,1,1
45,1,3
46,1,7
47,1,12
48,1,18
49,1,20
5,1,41
50,1,18
51,1,7
52,1,6
53,1,13
54,1,8
55,1,7
56,1,16
57,1,8
58,1,6
6,1,3
60,1,2665
8,1,6
9,1,4

