map_score,mapped,occurence
0,0,3346
0,1,1
1,1,11
10,1,2
11,1,11
12,1,4
13,1,9
14,1,10
15,1,5
16,1,3
17,1,7
18,1,30
19,1,27
2,1,10
20,1,6
21,1,9
22,1,9
23,1,6
24,1,11
25,1,13
26,1,21
27,1,12
28,1,8
29,1,6
3,1,7
30,1,4
31,1,5
32,1,11
33,1,6
34,1,22
35,1,11
36,1,8
37,1,14
38,1,9
39,1,14
4,1,27
40,1,23
41,1,24
42,1,24
43,1,26
44,1,46
45,1,101
46,1,101
47,1,23
48,1,23
49,1,10
5,1,41
50,1,20
51,1,22
52,1,13
53,1,42
54,1,29
55,1,17
56,1,34
57,1,42
58,1,21
59,1,26
6,1,7
60,1,14037
7,1,8
8,1,1
9,1,3

