GC_content,mapped,occurence
48.48,0.0,1.0
48.48,1.0,2.0
48.52,0.0,1.0
48.52,1.0,1.0
48.53,1.0,1.0
48.54,1.0,3.0
48.55,0.0,2.0
48.55,1.0,11.0
48.56,1.0,10.0
48.57,0.0,1.0
48.57,1.0,5.0
48.58,1.0,1.0
48.59,0.0,1.0
48.59,1.0,1.0
48.6,0.0,2.0
48.61,0.0,2.0
48.64,1.0,1.0
48.66,0.0,1.0
48.67,0.0,1.0
48.67,1.0,1.0
48.68,0.0,1.0
48.68,1.0,1.0
48.69,1.0,1.0
48.7,0.0,2.0
48.7,1.0,2.0
48.71,0.0,1.0
48.72,0.0,1.0
48.72,1.0,1.0
48.73,0.0,1.0
48.73,1.0,7.0
48.74,1.0,52.0
48.75,1.0,2.0
48.77,1.0,1.0
48.78,0.0,2.0
48.81,1.0,1.0
48.82,1.0,2.0
48.84,1.0,3.0
48.85,1.0,1.0
48.87,1.0,1.0
48.88,0.0,1.0
48.89,0.0,1.0
48.89,1.0,2.0
48.9,1.0,4.0
48.91,1.0,22.0
48.92,1.0,10.0
48.93,0.0,1.0
48.93,1.0,4.0
48.94,0.0,1.0
48.94,1.0,1.0
48.97,1.0,2.0
48.99,1.0,1.0
49.0,1.0,1.0
49.01,0.0,1.0
49.02,0.0,3.0
49.02,1.0,1.0
49.03,0.0,1.0
49.05,0.0,1.0
49.07,1.0,1.0
49.08,0.0,1.0
49.08,1.0,3.0
49.09,1.0,16.0
49.1,1.0,93.0
49.11,1.0,2.0
49.12,1.0,2.0
49.13,1.0,1.0
49.15,1.0,1.0
49.17,1.0,2.0
49.18,1.0,2.0
49.19,1.0,1.0
49.2,1.0,1.0
49.21,0.0,1.0
49.22,0.0,1.0
49.23,1.0,1.0
49.25,0.0,1.0
49.25,1.0,1.0
49.26,1.0,5.0
49.27,1.0,7.0
49.28,1.0,49.0
49.29,1.0,6.0
49.3,0.0,1.0
49.32,0.0,1.0
49.32,1.0,3.0
49.33,1.0,1.0
49.34,0.0,3.0
49.34,1.0,2.0
49.35,0.0,1.0
49.35,1.0,1.0
49.36,0.0,2.0
49.37,1.0,2.0
49.4,0.0,1.0
49.4,1.0,1.0
49.41,0.0,1.0
49.45,0.0,1.0
49.45,1.0,22.0
49.46,1.0,123.0
