GC_content,mapped,occurence
48.9,0.0,10.0
48.91,0.0,7.0
48.92,0.0,4.0
48.92,1.0,1.0
48.93,0.0,2.0
48.94,0.0,3.0
48.95,0.0,8.0
48.96,0.0,10.0
48.97,0.0,2.0
48.98,0.0,4.0
48.99,0.0,6.0
48.99,1.0,1.0
49.0,0.0,9.0
49.01,0.0,13.0
49.01,1.0,2.0
49.02,0.0,21.0
49.02,1.0,1.0
49.03,0.0,18.0
49.04,0.0,12.0
49.04,1.0,1.0
49.05,0.0,1.0
49.06,0.0,11.0
49.07,0.0,12.0
49.07,1.0,1.0
49.08,0.0,7.0
49.08,1.0,1.0
49.09,0.0,15.0
49.1,0.0,15.0
49.11,0.0,19.0
49.12,0.0,19.0
49.13,0.0,12.0
49.14,0.0,8.0
49.14,1.0,2.0
49.15,0.0,7.0
49.16,0.0,3.0
49.17,0.0,4.0
49.17,1.0,2.0
49.18,0.0,4.0
49.18,1.0,1.0
49.19,0.0,7.0
49.2,0.0,6.0
49.2,1.0,1.0
49.21,0.0,9.0
49.21,1.0,2.0
49.22,0.0,4.0
49.22,1.0,3.0
49.23,0.0,6.0
49.24,0.0,5.0
49.25,0.0,17.0
49.26,0.0,11.0
49.27,0.0,8.0
49.28,0.0,8.0
49.29,0.0,1.0
49.29,1.0,1.0
49.31,0.0,1.0
49.31,1.0,3.0
49.32,0.0,2.0
49.33,0.0,6.0
49.34,0.0,12.0
49.35,0.0,14.0
49.36,0.0,10.0
49.37,0.0,11.0
49.37,1.0,2.0
49.38,0.0,16.0
49.38,1.0,2.0
49.39,0.0,5.0
49.4,0.0,24.0
49.41,0.0,34.0
49.41,1.0,1.0
49.42,0.0,22.0
49.43,0.0,20.0
49.44,0.0,6.0
49.45,0.0,9.0
49.46,0.0,8.0
49.46,1.0,1.0
49.47,0.0,12.0
49.47,1.0,1.0
49.48,0.0,9.0
49.48,1.0,1.0
49.49,0.0,8.0
49.49,1.0,1.0
49.5,0.0,20.0
49.5,1.0,1.0
49.51,0.0,16.0
49.52,0.0,6.0
49.52,1.0,3.0
49.53,0.0,1.0
49.54,0.0,2.0
49.55,0.0,1.0
49.56,0.0,6.0
49.56,1.0,1.0
49.57,0.0,4.0
49.58,0.0,11.0
49.59,0.0,6.0
49.59,1.0,1.0
49.6,0.0,1.0
49.6,1.0,3.0
49.61,0.0,3.0
49.62,0.0,3.0
49.62,1.0,2.0
49.63,0.0,3.0
49.64,0.0,6.0
49.64,1.0,1.0
49.65,0.0,1.0
49.66,0.0,1.0
49.67,0.0,14.0
49.68,0.0,20.0
49.68,1.0,1.0
49.69,0.0,21.0
49.69,1.0,1.0
49.7,0.0,49.0
49.71,0.0,37.0
49.71,1.0,1.0
49.72,0.0,4.0
49.72,1.0,1.0
49.73,0.0,16.0
49.74,0.0,16.0
49.74,1.0,2.0
49.75,0.0,30.0
49.75,1.0,1.0
49.76,0.0,22.0
49.76,1.0,2.0
49.77,0.0,5.0
49.78,0.0,8.0
49.79,0.0,12.0
49.79,1.0,7.0
49.8,0.0,1.0
49.8,1.0,1.0
49.81,0.0,2.0
49.82,0.0,1.0
49.82,1.0,2.0
49.83,0.0,4.0
49.83,1.0,2.0
49.84,0.0,4.0
49.84,1.0,3.0
49.85,0.0,3.0
49.85,1.0,2.0
49.86,0.0,2.0
49.86,1.0,1.0
49.87,0.0,1.0
49.87,1.0,1.0
49.88,0.0,1.0
49.88,1.0,1.0
49.89,1.0,1.0
49.9,1.0,2.0
50.0,0.0,296.0
50.0,1.0,23.0
50.09,1.0,1.0
50.11,1.0,1.0
50.13,0.0,1.0
50.13,1.0,6.0
50.14,0.0,2.0
50.15,1.0,1.0
50.16,0.0,1.0
50.16,1.0,9.0
50.17,0.0,5.0
50.17,1.0,1.0
50.18,0.0,5.0
50.18,1.0,1.0
50.19,0.0,5.0
50.19,1.0,2.0
50.2,0.0,6.0
50.2,1.0,2.0
50.21,0.0,15.0
50.21,1.0,5.0
50.22,0.0,3.0
50.22,1.0,3.0
50.23,0.0,9.0
50.24,0.0,11.0
50.25,0.0,25.0
50.26,0.0,16.0
50.26,1.0,2.0
50.27,0.0,8.0
50.28,0.0,6.0
50.28,1.0,1.0
50.29,0.0,42.0
50.29,1.0,1.0
50.3,0.0,52.0
50.31,0.0,26.0
50.31,1.0,9.0
50.32,0.0,16.0
50.32,1.0,5.0
50.33,0.0,14.0
50.33,1.0,1.0
50.34,0.0,1.0
50.35,0.0,2.0
50.36,0.0,3.0
50.37,0.0,3.0
50.38,0.0,7.0
50.38,1.0,2.0
50.39,0.0,2.0
50.39,1.0,1.0
50.4,0.0,4.0
50.4,1.0,3.0
50.41,0.0,7.0
50.41,1.0,14.0
50.42,0.0,11.0
50.42,1.0,2.0
50.43,0.0,12.0
50.44,0.0,5.0
50.44,1.0,2.0
50.45,0.0,2.0
50.46,0.0,2.0
50.46,1.0,1.0
50.47,0.0,8.0
50.47,1.0,7.0
50.48,0.0,3.0
50.48,1.0,1.0
50.49,0.0,14.0
50.5,0.0,16.0
50.5,1.0,1.0
