sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode01	read	occurence
Mapped	3807
No mapped	402
total	4209	GC_content,mapped,occurence
42.37,0.0,1.0
42.38,0.0,1.0
42.39,1.0,2.0
42.4,0.0,2.0
42.41,0.0,1.0
42.41,1.0,1.0
42.43,0.0,1.0
42.45,0.0,1.0
42.45,1.0,1.0
42.46,1.0,1.0
42.49,0.0,1.0
42.5,0.0,1.0
42.51,0.0,2.0
42.52,0.0,2.0
42.53,0.0,1.0
42.53,1.0,1.0
42.54,0.0,1.0
42.59,1.0,3.0
42.6,1.0,1.0
42.61,0.0,1.0
42.61,1.0,2.0
42.62,0.0,2.0
42.63,0.0,1.0
42.63,1.0,2.0
42.64,0.0,1.0
42.64,1.0,1.0
42.66,0.0,2.0
42.67,0.0,1.0
42.67,1.0,1.0
42.68,0.0,2.0
42.69,1.0,2.0
42.7,0.0,1.0
42.72,0.0,1.0
42.72,1.0,1.0
42.73,0.0,1.0
42.74,0.0,2.0
42.74,1.0,1.0
42.75,0.0,1.0
42.75,1.0,2.0
42.76,0.0,2.0
42.77,1.0,1.0
42.78,0.0,2.0
42.78,1.0,1.0
42.8,1.0,1.0
42.81,0.0,1.0
42.81,1.0,1.0
42.82,0.0,3.0
42.82,1.0,1.0
42.84,0.0,1.0
42.84,1.0,1.0
42.86,0.0,3.0
42.86,1.0,8.0
42.87,1.0,1.0
42.89,1.0,1.0
42.9,1.0,2.0
42.91,0.0,2.0
42.91,1.0,1.0
42.92,0.0,1.0
42.92,1.0,2.0
42.93,0.0,1.0
42.93,1.0,1.0
42.94,0.0,1.0
42.94,1.0,1.0
42.95,0.0,1.0
42.95,1.0,2.0
42.96,0.0,1.0
42.96,1.0,1.0
42.97,1.0,3.0
42.98,1.0,3.0
42.99,1.0,2.0
43.01,0.0,1.0
43.01,1.0,1.0
43.02,1.0,3.0
43.03,1.0,1.0
43.05,0.0,1.0
43.05,1.0,1.0
43.06,1.0,1.0
43.07,0.0,2.0
43.07,1.0,1.0
43.08,0.0,1.0
43.08,1.0,4.0
43.09,1.0,2.0
43.1,0.0,1.0
43.1,1.0,1.0
43.11,1.0,2.0
43.12,0.0,2.0
43.12,1.0,1.0
43.14,1.0,1.0
43.15,1.0,1.0
43.16,0.0,1.0
43.16,1.0,4.0
43.18,0.0,1.0
43.18,1.0,2.0
43.19,0.0,1.0
43.19,1.0,2.0
43.2,1.0,3.0
43.21,1.0,1.0
43.22,1.0,4.0
43.23,0.0,2.0
43.23,1.0,2.0
43.24,1.0,1.0
43.25,1.0,1.0
43.26,0.0,2.0
43.26,1.0,3.0
43.28,0.0,1.0
43.28,1.0,2.0
43.3,0.0,1.0
43.3,1.0,1.0
43.31,1.0,2.0
43.32,1.0,1.0
43.33,1.0,2.0
43.34,1.0,2.0
43.35,0.0,3.0
43.35,1.0,5.0
43.36,0.0,1.0
43.36,1.0,2.0
43.37,1.0,2.0
43.38,1.0,1.0
43.39,1.0,2.0
43.4,0.0,2.0
43.4,1.0,9.0
43.41,0.0,2.0
43.41,1.0,6.0
43.42,1.0,2.0
43.43,1.0,2.0
43.44,0.0,1.0
43.44,1.0,3.0
43.45,0.0,1.0
43.45,1.0,2.0
43.46,1.0,4.0
