map_score,mapped,occurence
0,0,990
1,1,5
12,1,1
13,1,56
14,1,9
15,1,4
16,1,2
17,1,1
18,1,2
19,1,1
21,1,2
23,1,2
24,1,1
25,1,9
26,1,18
27,1,37
28,1,1
3,1,4
30,1,1
31,1,1
32,1,2
33,1,2
34,1,1
35,1,2
36,1,3
37,1,2
38,1,4
39,1,6
4,1,1
40,1,1
41,1,2
42,1,2
44,1,2
45,1,2
46,1,3
47,1,2
48,1,1
49,1,2
5,1,11
50,1,5
51,1,2
52,1,2
53,1,5
54,1,4
55,1,2
56,1,2
57,1,4
58,1,2
59,1,15
6,1,4
60,1,1055
7,1,2
8,1,2

